,overall
2444,5.0
2968,4.0
23691,5.0
4204,5.0
14170,4.0
5606,5.0
19547,4.0
12831,5.0
18240,5.0
11751,3.0
10822,4.0
21143,5.0
7708,5.0
3351,1.0
6461,4.0
13622,2.0
17576,5.0
2988,5.0
6568,5.0
2471,4.0
22548,5.0
11843,5.0
1958,5.0
18735,5.0
13289,5.0
4613,5.0
152,1.0
10325,5.0
19075,5.0
15608,2.0
6229,5.0
14497,5.0
2744,3.0
9134,5.0
9035,5.0
18316,4.0
1962,4.0
8245,5.0
5943,4.0
96,2.0
5663,4.0
3668,4.0
19949,5.0
9973,4.0
2965,5.0
18129,2.0
12460,4.0
10055,1.0
3913,5.0
2804,1.0
22631,5.0
22869,5.0
7976,5.0
17481,1.0
3122,4.0
4829,4.0
14353,4.0
17902,5.0
5396,5.0
755,5.0
19747,2.0
1072,5.0
20850,4.0
10603,4.0
2773,5.0
498,5.0
15011,3.0
9270,4.0
6180,4.0
21873,5.0
4173,3.0
15432,4.0
14397,5.0
20532,4.0
19007,4.0
5025,5.0
10261,3.0
20232,4.0
22242,5.0
430,5.0
4453,5.0
8691,5.0
9423,5.0
3302,5.0
23213,4.0
9149,5.0
18219,3.0
13718,5.0
18961,4.0
13546,5.0
3184,5.0
8263,4.0
21994,5.0
11745,3.0
4083,4.0
5954,5.0
20375,5.0
17220,4.0
8729,5.0
12917,5.0
20019,2.0
23499,5.0
8013,5.0
1704,4.0
8762,4.0
18557,3.0
5137,4.0
12998,5.0
7136,5.0
17903,4.0
16470,5.0
2885,4.0
23742,5.0
16561,4.0
3163,5.0
13689,4.0
13116,3.0
863,5.0
14347,5.0
5867,4.0
13113,3.0
7387,4.0
17900,5.0
15616,4.0
11855,4.0
9812,5.0
11437,1.0
6425,5.0
21980,5.0
23228,5.0
11225,2.0
8197,4.0
14838,1.0
11946,4.0
8639,5.0
13325,2.0
14468,4.0
10034,5.0
922,5.0
4998,5.0
2719,5.0
3048,5.0
3473,4.0
9447,5.0
22570,5.0
2792,5.0
8429,4.0
9994,5.0
23669,5.0
18721,5.0
14643,5.0
1888,4.0
323,1.0
9577,4.0
13647,4.0
7950,5.0
15249,4.0
624,5.0
17607,1.0
5611,5.0
5446,5.0
10050,5.0
4741,5.0
5743,5.0
22990,4.0
13663,4.0
8436,5.0
16228,2.0
22314,4.0
1908,4.0
6072,4.0
15216,4.0
12192,5.0
16463,4.0
9115,5.0
12729,4.0
16774,3.0
14997,5.0
10833,5.0
4914,5.0
14974,4.0
19087,1.0
21734,4.0
11004,5.0
17044,5.0
23087,4.0
8340,5.0
6971,5.0
11086,4.0
3166,3.0
2691,1.0
13526,4.0
15515,2.0
11149,5.0
9841,4.0
9595,4.0
4192,5.0
7945,5.0
20733,4.0
13627,4.0
6931,5.0
21918,4.0
5005,5.0
4593,4.0
6061,3.0
19998,5.0
17895,3.0
10860,5.0
23004,4.0
5158,5.0
1368,5.0
16564,5.0
2198,5.0
7182,4.0
16676,5.0
7814,5.0
3858,5.0
22736,2.0
11914,3.0
11036,5.0
23743,4.0
21936,5.0
2667,5.0
9903,1.0
4603,3.0
19872,5.0
18585,4.0
2284,5.0
7763,5.0
18558,4.0
20231,5.0
15369,5.0
6658,4.0
5901,5.0
14891,4.0
11303,3.0
10619,3.0
8880,5.0
20016,3.0
21979,5.0
10852,5.0
15115,4.0
15150,4.0
20687,5.0
3592,5.0
9738,3.0
2377,5.0
350,5.0
3818,5.0
22490,4.0
15279,4.0
4791,4.0
704,5.0
5658,5.0
7088,4.0
4061,4.0
23487,5.0
347,5.0
13690,4.0
7616,5.0
5987,4.0
6029,4.0
5932,4.0
19224,5.0
20667,5.0
7063,5.0
22428,5.0
7789,3.0
7293,5.0
3260,5.0
11561,4.0
19148,3.0
799,4.0
9487,4.0
4161,5.0
10830,5.0
2450,5.0
19760,2.0
16673,5.0
17581,5.0
11525,5.0
12067,4.0
4293,5.0
19240,5.0
16708,4.0
3135,5.0
203,4.0
21380,5.0
20128,3.0
19946,4.0
14046,5.0
821,3.0
22,4.0
17502,1.0
14084,5.0
9032,4.0
12374,5.0
18745,4.0
12767,5.0
7961,5.0
18593,4.0
5030,5.0
13560,4.0
