,overall
6172,5.0
11717,2.0
19464,5.0
7911,3.0
22250,1.0
1827,5.0
13883,5.0
6413,5.0
3575,5.0
20769,4.0
97,5.0
9048,5.0
8201,5.0
4648,5.0
20914,5.0
16766,2.0
20870,5.0
13405,5.0
21220,3.0
2099,5.0
23377,5.0
22917,4.0
14693,4.0
23386,3.0
12488,5.0
22947,3.0
7907,5.0
16539,4.0
9144,3.0
22850,5.0
16140,3.0
23015,5.0
18229,4.0
11784,3.0
519,5.0
9560,1.0
12602,5.0
15051,3.0
20298,3.0
14547,5.0
1270,4.0
193,4.0
23773,5.0
13994,5.0
17537,4.0
5322,5.0
8186,5.0
4987,5.0
15014,4.0
11796,5.0
20020,5.0
6854,4.0
6237,2.0
3232,3.0
12126,5.0
2334,4.0
8121,5.0
21069,4.0
4428,5.0
23185,4.0
2229,5.0
2672,5.0
346,5.0
18836,3.0
18028,4.0
21126,3.0
18580,3.0
12660,5.0
19594,5.0
508,5.0
22478,3.0
17828,1.0
12872,5.0
9198,5.0
21846,4.0
13975,4.0
767,4.0
20929,3.0
12189,4.0
2292,5.0
22768,4.0
11236,4.0
2156,5.0
20939,5.0
12033,5.0
13165,5.0
15664,5.0
21112,5.0
19844,4.0
13096,3.0
5996,5.0
7736,4.0
5709,5.0
8322,5.0
5337,5.0
12713,3.0
14362,5.0
18400,5.0
1987,5.0
11920,4.0
3885,5.0
14528,4.0
709,4.0
1505,5.0
2948,3.0
2992,4.0
19255,5.0
7013,5.0
18332,5.0
6932,4.0
18356,5.0
2856,5.0
21057,4.0
3853,4.0
16031,3.0
11534,5.0
3655,5.0
10536,5.0
10071,4.0
20724,2.0
18459,4.0
21455,5.0
17441,5.0
10031,4.0
478,5.0
16901,4.0
15063,1.0
11971,5.0
212,4.0
18895,2.0
21741,5.0
17381,5.0
18212,4.0
934,5.0
603,5.0
16669,4.0
3638,3.0
2991,5.0
14683,3.0
9000,3.0
18026,4.0
7096,4.0
14964,1.0
6169,5.0
23362,3.0
1776,5.0
2413,3.0
1371,5.0
16600,5.0
18817,5.0
7309,5.0
2126,4.0
5895,4.0
1589,4.0
20250,5.0
17817,5.0
22758,4.0
15212,5.0
22150,5.0
14011,4.0
13167,4.0
22153,4.0
15065,4.0
13439,4.0
13934,3.0
4373,5.0
2155,5.0
775,5.0
6728,5.0
8923,5.0
20089,1.0
9442,5.0
18896,5.0
5657,5.0
6098,1.0
805,5.0
20082,4.0
16385,5.0
8409,5.0
8175,5.0
17637,5.0
22767,4.0
11652,5.0
13656,4.0
10732,3.0
14758,5.0
21379,5.0
7946,5.0
23293,3.0
15276,1.0
21430,3.0
7058,3.0
11714,4.0
20612,2.0
17101,4.0
9682,5.0
21960,4.0
3013,5.0
9507,4.0
13698,5.0
16646,5.0
17952,5.0
12986,4.0
10069,5.0
1551,4.0
21267,5.0
16694,4.0
3748,4.0
20488,3.0
14377,3.0
11587,4.0
15868,3.0
964,4.0
5084,4.0
23071,5.0
9781,5.0
19876,3.0
3173,5.0
17405,5.0
9130,5.0
11328,5.0
21386,2.0
5683,5.0
5804,5.0
14566,3.0
2244,4.0
2828,5.0
10858,5.0
8643,5.0
16355,3.0
18520,3.0
18475,4.0
13932,3.0
18554,4.0
5225,4.0
11053,5.0
10545,4.0
5696,5.0
4241,4.0
2901,5.0
15517,5.0
1192,4.0
3409,2.0
9510,5.0
8632,5.0
10724,4.0
487,5.0
1289,5.0
4213,5.0
17143,5.0
8919,5.0
8941,4.0
20543,3.0
21949,5.0
9716,5.0
11578,3.0
17509,4.0
14517,1.0
7288,4.0
14138,5.0
13024,3.0
15797,4.0
23534,4.0
9422,5.0
19656,3.0
2821,5.0
11435,1.0
14320,4.0
21202,4.0
7583,5.0
2546,5.0
11433,4.0
1102,5.0
17639,4.0
22422,4.0
23684,5.0
3078,5.0
22749,5.0
12628,3.0
3831,5.0
7092,5.0
13785,4.0
18080,5.0
21222,4.0
7254,5.0
17745,4.0
9217,5.0
3770,5.0
22489,5.0
18672,3.0
14969,1.0
21745,4.0
9482,3.0
2956,5.0
8528,5.0
20142,4.0
5619,5.0
7573,4.0
14213,4.0
8329,5.0
23662,5.0
8818,5.0
13283,5.0
5288,4.0
21031,4.0
16296,3.0
21451,5.0
21488,5.0
3126,5.0
513,5.0
20440,5.0
19107,5.0
19856,2.0
19238,4.0
17378,5.0
13649,5.0
5758,5.0
7140,5.0
5444,5.0
22343,4.0
5458,1.0
1168,5.0
21762,4.0
6211,5.0
20429,1.0
3717,5.0
20823,5.0
7969,5.0
17052,4.0
21425,3.0
2489,5.0
21808,5.0
21466,3.0
967,2.0
11024,5.0
17919,4.0
22240,5.0
21935,4.0
1039,3.0
3125,5.0
15622,2.0
22364,5.0
6548,4.0
9258,5.0
22496,5.0
21405,2.0
14940,5.0
14487,4.0
2693,4.0
20715,1.0
1446,5.0
5198,4.0
23630,5.0
3742,5.0
23030,4.0
22055,4.0
19655,5.0
6624,5.0
14385,5.0
3020,5.0
13464,4.0
10049,5.0
2443,4.0
11265,4.0
22933,5.0
16520,4.0
13322,1.0
14912,5.0
22771,5.0
3726,5.0
5774,4.0
22202,4.0
16184,5.0
11247,5.0
22155,4.0
7777,5.0
7560,5.0
21852,5.0
4577,5.0
15035,5.0
21926,5.0
23731,4.0
15493,5.0
10942,5.0
15180,5.0
2966,4.0
17355,3.0
19453,4.0
2566,5.0
9291,5.0
9430,5.0
23675,5.0
21946,4.0
16641,4.0
14006,5.0
20225,4.0
4100,5.0
4825,4.0
6330,5.0
19807,1.0
17085,5.0
5899,5.0
23724,5.0
7236,5.0
15300,5.0
8692,4.0
10950,4.0
10368,5.0
22849,4.0
19276,4.0
7842,5.0
17713,4.0
7139,5.0
16007,4.0
5302,5.0
19931,5.0
9135,5.0
23272,5.0
8290,5.0
9714,4.0
13782,3.0
10515,4.0
12296,5.0
15977,5.0
23037,5.0
12691,5.0
23516,5.0
6057,4.0
16257,4.0
1297,5.0
20648,4.0
10488,5.0
572,5.0
1197,5.0
4626,5.0
22842,4.0
5749,4.0
23095,4.0
16831,5.0
23768,5.0
4476,3.0
12169,5.0
13104,1.0
892,5.0
22573,3.0
4307,5.0
2900,4.0
16885,4.0
17813,5.0
2892,4.0
15206,5.0
7349,5.0
10574,5.0
17181,5.0
18156,5.0
11917,5.0
23145,3.0
8905,5.0
15054,4.0
5330,5.0
21920,4.0
2811,5.0
23032,4.0
2401,2.0
9417,5.0
500,5.0
1425,5.0
23123,5.0
8757,4.0
17561,1.0
18819,5.0
16290,3.0
18370,5.0
17337,5.0
13425,5.0
12386,4.0
2316,4.0
9136,5.0
20827,5.0
20569,5.0
16743,5.0
12058,5.0
13955,4.0
18901,1.0
4541,1.0
23193,5.0
22165,4.0
9905,4.0
18708,4.0
16084,4.0
929,4.0
17709,4.0
20209,4.0
19911,5.0
2780,5.0
21431,5.0
3755,5.0
23719,5.0
4127,4.0
7447,5.0
16868,4.0
17958,4.0
1836,5.0
21283,4.0
23780,5.0
7400,4.0
749,5.0
5637,4.0
19355,4.0
22203,4.0
22000,3.0
8440,4.0
12255,5.0
10027,5.0
11172,4.0
19533,2.0
20255,4.0
21982,4.0
520,5.0
8837,5.0
16368,4.0
6740,5.0
4678,5.0
16970,5.0
10535,5.0
8871,5.0
6154,5.0
12030,5.0
10216,4.0
740,5.0
11458,4.0
1778,4.0
23348,4.0
11448,5.0
16061,5.0
19513,4.0
20597,5.0
18579,5.0
11908,4.0
9016,4.0
2253,5.0
23620,5.0
19892,4.0
22452,4.0
10113,5.0
3570,4.0
18451,4.0
4834,4.0
19879,5.0
2488,5.0
680,5.0
22935,3.0
8253,5.0
20585,5.0
866,5.0
22256,5.0
22905,5.0
22183,4.0
11570,5.0
18406,5.0
14569,5.0
19152,5.0
3035,5.0
7699,5.0
3459,5.0
2121,4.0
21744,5.0
14689,5.0
11741,3.0
14031,5.0
5805,4.0
15404,5.0
11246,4.0
18700,5.0
23395,5.0
10826,5.0
8357,5.0
6465,1.0
22588,5.0
3644,4.0
18785,5.0
11238,1.0
12334,4.0
11927,2.0
10725,5.0
22476,5.0
10721,5.0
12658,1.0
7758,5.0
20608,4.0
11673,5.0
15922,1.0
10001,2.0
14277,2.0
10609,1.0
15198,5.0
11095,5.0
9756,5.0
23292,5.0
22215,3.0
9929,4.0
16938,5.0
16410,4.0
19228,5.0
21106,5.0
8080,5.0
21963,4.0
9054,5.0
5876,5.0
15556,3.0
20958,4.0
1785,5.0
3079,5.0
6199,5.0
20312,3.0
9497,5.0
3143,5.0
15651,4.0
10492,4.0
19509,5.0
6940,5.0
11582,4.0
18306,5.0
13771,5.0
9543,1.0
1262,3.0
9873,5.0
14926,5.0
15998,4.0
4264,5.0
13888,4.0
20996,5.0
20758,4.0
19130,4.0
6,5.0
2383,5.0
4696,5.0
9801,4.0
11480,5.0
8414,4.0
6523,4.0
11569,5.0
15413,5.0
23509,5.0
3922,5.0
7316,3.0
8913,5.0
22695,5.0
12406,5.0
3441,4.0
4285,5.0
23069,5.0
7542,5.0
11932,4.0
4358,5.0
10209,5.0
18091,4.0
8775,5.0
1794,5.0
3555,5.0
5022,5.0
2613,5.0
7590,5.0
3903,5.0
4064,5.0
5832,3.0
20652,4.0
23325,3.0
792,4.0
19488,5.0
5534,5.0
4489,4.0
20803,3.0
2434,5.0
10444,2.0
3633,3.0
7213,5.0
19247,5.0
4245,5.0
5560,5.0
10570,5.0
16225,3.0
20777,1.0
18569,5.0
22801,4.0
13437,3.0
7108,3.0
3000,5.0
4304,4.0
21496,4.0
6241,5.0
1618,4.0
17372,5.0
18103,5.0
5161,5.0
5684,5.0
9830,4.0
20426,4.0
11852,5.0
4691,5.0
20359,5.0
17598,4.0
7615,5.0
11138,4.0
4080,5.0
10417,5.0
10080,4.0
16549,5.0
21724,4.0
17530,4.0
2269,5.0
4321,5.0
9746,4.0
7221,5.0
10021,4.0
8117,5.0
7115,5.0
7421,5.0
3761,5.0
22733,5.0
3418,3.0
1341,5.0
18775,3.0
2639,4.0
14384,4.0
12106,1.0
19217,4.0
14461,3.0
5951,2.0
18541,4.0
11798,4.0
19822,5.0
381,4.0
2322,5.0
10205,5.0
9396,5.0
9069,3.0
14906,4.0
17864,5.0
3908,5.0
1478,2.0
12093,5.0
45,5.0
1087,5.0
7764,5.0
4027,3.0
18361,3.0
7671,5.0
1920,5.0
19026,5.0
11204,1.0
19381,4.0
10227,4.0
5851,5.0
1711,4.0
6611,5.0
13869,4.0
4323,5.0
19298,5.0
1127,5.0
11947,4.0
22660,4.0
18144,4.0
5860,5.0
5445,3.0
17504,5.0
11266,4.0
4718,5.0
6382,4.0
19663,5.0
19115,5.0
15689,5.0
6723,5.0
1756,5.0
8180,4.0
9382,2.0
22567,5.0
17455,5.0
18830,4.0
18526,4.0
11240,5.0
12522,5.0
18794,5.0
11950,5.0
21659,4.0
20062,5.0
7363,3.0
2725,5.0
11329,4.0
15681,5.0
20268,1.0
7639,5.0
14083,5.0
22909,5.0
18328,5.0
15889,4.0
21749,5.0
19166,1.0
1103,5.0
12449,5.0
13568,3.0
4978,3.0
10727,2.0
11481,4.0
8861,5.0
1136,4.0
16926,3.0
17252,4.0
18633,5.0
18504,4.0
8169,3.0
8878,5.0
185,5.0
17641,5.0
4984,2.0
15466,5.0
8588,5.0
21293,5.0
12352,1.0
7659,2.0
1873,4.0
754,5.0
1647,4.0
15491,5.0
19955,5.0
3080,5.0
22793,3.0
16954,3.0
1028,4.0
16803,4.0
17720,5.0
5105,5.0
8204,5.0
4035,5.0
17177,5.0
386,5.0
14673,2.0
1109,5.0
9443,5.0
276,5.0
19260,5.0
2231,5.0
5778,4.0
14007,4.0
15716,1.0
5306,4.0
14888,4.0
18583,3.0
18551,4.0
2814,5.0
20682,5.0
2911,4.0
6736,5.0
10756,4.0
21158,3.0
5894,1.0
2018,4.0
21077,5.0
11116,5.0
18082,1.0
18827,5.0
1185,5.0
5116,5.0
6510,5.0
18019,5.0
14070,5.0
20029,5.0
12651,5.0
22369,5.0
18493,1.0
15470,5.0
20059,5.0
3448,3.0
